亜|sub-,Asia|ア
殻|husk|カク,から
郭|enclosure|カク
較|contrast|カク
隔|isolate|カク,へだ-てる,へだ-たる
獲|seize|カク,え-る
嚇|menacing|カク
穫|harvest|カク
岳|point|ガク,たけ
顎|jaw|ガク,あご
掛|hang|か-ける,か-かる,かかり
括|fasten|カツ
喝|hoarse|カツ
渇|thirst|カツ,かわ-く
葛 [7]|arrowroot|カツ,くず
滑|slippery|カツ,コツ,すべ-る,なめ-らか
褐|brown|カツ
轄|control|カツ
且|moreover|か-つ
釜|kettle|かま
鎌|sickle|かま
刈|reap|か-る
甘|sweet|カン,あま-い,あま-える,あま-やかす
汗|sweat|カン,あせ
缶|tin can|カン
肝|liver|カン,きも
冠|crown|カン,かんむり
陥|collapse|カン,おちい-る,おとしい-れる
乾|dry|カン,かわ-く,かわ-かす
勘|intuition|カン
患|afflicted|カン,わずら-う
貫|pierce|カン,つらぬ-く
喚|yell|カン
堪|withstand|カン,た-える
換|interchange|カン,か-える,か-わる
敢|daring|カン
棺|coffin|カン
款|goodwill|カン
閑|leisure|カン
勧|persuade|カン,すす-める
寛|tolerant|カン
歓|delight|カン
監|oversee|カン
緩|slacken|カン,ゆる-い,ゆる-やか,ゆる-む,ゆる-める
憾|remorse|カン
還|send back|カン
環|ring|カン
韓 [5]|Korea|カン
艦|warship|カン
鑑|specimen|カン,かんが-みる
含|include|ガン,ふく-む,ふく-める
玩|trifle with|ガン
頑|stubborn|ガン
企|plan|キ,くわだ-てる
伎|deed|キ
忌|mourning|キ,い-む,い-まわしい
奇|strange|キ
祈|pray|キ,いの-る
軌|rut|キ
既|previously|キ,すで-に
飢|hungry|キ,う-える
鬼|ghost|キ,おに
亀|turtle|キ,かめ
幾|how many|キ,いく
棋|chess piece|キ
棄|abandon|キ
毀|destroy|キ
畿|capital|キ
輝|radiance|キ,かがや-く
騎|equestrian|キ
宜|best regards|ギ
偽|falsehood|ギ,いつわ-る,にせ
欺|deceit|ギ,あざむ-く
儀|ceremony|ギ
戯|frolic|ギ,たわむ-れる
擬|mimic|ギ
犠|sacrifice|ギ
菊|chrysanthemum|キク
吉|good luck|キチ,キツ
喫|consume|キツ
詰|packed|キツ,つ-める,つ-まる,つ-む
却|instead|キャク
脚|leg|キャク,（キャ）,あし
虐|tyrannize|ギャク,しいた-げる
及|reach out|キュウ,およ-ぶ,およ-び,およ-ぼす
丘|hill|キュウ,おか
朽|decay|キュウ,く-ちる
臼|mortar|キュウ,うす
糾|twist|キュウ
嗅|smell|キュウ,か-ぐ
窮|hard up|キュウ,きわ-める,きわ-まる
巨|gigantic|キョ
拒|repel|キョ,こば-む
拠|foothold|キョ,コ
虚|void|キョ,（コ）
距|long-distance|キョ
御|honorable|ギョ,ゴ,おん
凶|villain|キョウ
叫|shout|キョウ,さけ-ぶ
狂|lunatic|キョウ,くる-う,くる-おしい
享|receive|キョウ
況|condition|キョウ
峡|gorge|キョウ
挟|pinch|キョウ,はさ-む,はさ-まる
狭|cramped|キョウ,せま-い,せば-める,せば-まる
恐|fear|キョウ,おそ-れる,おそ-ろしい
恭|respect|キョウ,うやうや-しい
脅|threaten|キョウ,おびや-かす,おど-す,おど-かす
矯|rectify|キョウ,た-める
響|echo|キョウ,ひび-く
驚|wonder|キョウ,おどろ-く,おどろ-かす
仰|face-up|ギョウ,（コウ）,あお-ぐ,おお-せ
暁|daybreak|ギョウ,あかつき
凝|congeal|ギョウ,こ-る,こ-らす
巾|towel|キン
斤|axe|キン
菌|germ|キン
琴|harp|キン,こと
僅 [7]|a wee bit|キン,わず-か
緊|tense|キン
錦|brocade|キン,にしき
謹|discreet|キン,つつし-む
襟|collar|キン,えり
吟|versify|ギン
駆|drive|ク,か-ける,か-る
惧|dread|グ
愚|foolish|グ,おろ-か
偶|accidentally|グウ
遇|interview|グウ
隅|corner|グウ,すみ
串|skewer|くし
屈|yield|クツ
掘|dig|クツ,ほ-る
窟|cavern|クツ
繰|winding|く-る
勲|meritorious deed|クン
薫|fragrant|クン,かお-る
刑|punish|ケイ
茎|stalk|ケイ,くき
契|pledge|ケイ,ちぎ-る
恵|favor|ケイ,エ,めぐ-む
啓|disclose|ケイ
掲|put up (a notice)|ケイ,かか-げる
渓|mountain stream|ケイ
蛍|lightning-bug|ケイ,ほたる
傾|lean|ケイ,かたむ-く,かたむ-ける
携|portable|ケイ,たずさ-える,たずさ-わる
継|inherit|ケイ,つ-ぐ
詣|visit a temple|ケイ,もう-でる
慶|jubilation|ケイ
憬|long for|ケイ
稽|consider|ケイ
憩|recess|ケイ,いこ-い,いこ-う
鶏|chicken|ケイ,にわとり
迎|welcome|ゲイ,むか-える
鯨|whale|ゲイ,くじら
隙|fissure|ゲキ,すき
撃|beat|ゲキ,う-つ
桁|beam|けた
傑|greatness|ケツ
肩|shoulder|ケン,かた
倹|frugal|ケン
兼|concurrently|ケン,か-ねる
剣|sabre|ケン,つるぎ
拳|fist|ケン,こぶし
軒|flats|ケン,のき
圏|sphere|ケン
堅|strict|ケン,かた-い
嫌|dislike|ケン,（ゲン）,きら-う,いや
献|offering|ケン,（コン）
遣|dispatch|ケン,つか-う,つか-わす
賢|intelligent|ケン,かしこ-い
謙|self-effacing|ケン
鍵|key|ケン,かぎ
繭|cocoon|ケン,まゆ
顕|appear|ケン
懸|suspend|ケン,（ケ）,か-ける,か-かる
幻|phantasm|ゲン,まぼろし
玄|mysterious|ゲン
弦|bowstring|ゲン,つる
舷|gunwale|ゲン
股|crotch|コ,また
虎|tiger|コ,とら
孤|orphan|コ
弧|arc|コ
枯|wither|コ,か-れる,か-らす
雇|employ|コ,やと-う
誇|boast|コ,ほこ-る
鼓|drum|コ,つづみ
錮|tie up|コ
顧|look back|コ,かえり-みる
互|mutually|ゴ,たが-い
呉|give|ゴ
娯|recreation|ゴ
悟|enlightenment|ゴ,さと-る
碁|Go|ゴ
勾|capture|コウ
孔|cavity|コウ
巧|adroit|コウ,たく-み
甲|armor|コウ,カン
江|inlet|コウ,え
坑|pit|コウ
抗|confront|コウ
攻|aggression|コウ,せ-める
更|grow late|コウ,さら,ふ-ける,ふ-かす
拘|arrest|コウ
肯|agreement|コウ
侯|marquis|コウ
恒|constancy|コウ
洪|deluge|コウ
荒|laid waste|コウ,あら-い,あ-れる,あ-らす
郊|outskirts|コウ
貢|tribute|コウ,（ク）,みつ-ぐ
控|withdraw|コウ,ひか-える
梗|close up|コウ
喉|throat|コウ,のど
慌|disconcerted|コウ,あわ-てる,あわ-ただしい
硬|stiff|コウ,かた-い
絞|strangle|コウ,しぼ-る,し-める,し-まる
項|paragraph|コウ
溝|gutter|コウ,みぞ
綱|hawser|コウ,つな
