亜|sub-,Asia|ア
邦|home country|ホウ
奉|observance|ホウ,（ブ）,たてまつ-る
抱|embrace|ホウ,だ-く,いだ-く,かか-える
泡|bubbles|ホウ,あわ
胞|placenta|ホウ
俸|salary|ホウ
倣|emulate|ホウ,なら-う
峰|summit|ホウ,みね
砲|cannon|ホウ
崩|crumble|ホウ,くず-れる,くず-す
蜂|bee|ホウ,はち
飽|sated|ホウ,あ-きる,あ-かす
褒|praise|ホウ,ほ-める
縫|sew|ホウ,ぬ-う
乏|scarce|ボウ,とぼ-しい
忙|busy|ボウ,いそが-しい
坊|boy|ボウ,（ボッ）
妨|disturb|ボウ,さまた-げる
房|tassel|ボウ,ふさ
肪|obese|ボウ
某|so-and-so|ボウ
冒|risk|ボウ,おか-す
剖|divide|ボウ
紡|spinning|ボウ,つむ-ぐ
傍|bystander|ボウ,かたわ-ら
帽|cap|ボウ
貌|appearance|ボウ
膨|swell|ボウ,ふく-らむ,ふく-れる
謀|conspire|ボウ,（ム）,はか-る
頰 [7]|cheek|ほお
朴|crude|ボク
睦|harmonious|ボク
僕|I,me|ボク
墨|black ink|ボク,すみ
撲|slap|ボク
没|drown|ボツ
勃|rise|ボツ
堀|ditch|ほり
奔|bustle|ホン
翻|flip|ホン,ひるがえ-る,ひるがえ-す
凡|mediocre|ボン,（ハン）
盆|basin|ボン
麻|hemp|マ,あさ
摩|chafe|マ
磨|grind|マ,みが-く
魔|witch|マ
昧|foolish|マイ
埋|bury|マイ,う-める,う-まる,う-もれる
膜|membrane|マク
枕|pillow|まくら
又|or again|また
抹|rub|マツ
慢|ridicule|マン
漫|cartoon|マン
魅|fascination|ミ
岬|headland|みさき
蜜|honey|ミツ
妙|exquisite|ミョウ
眠|sleep|ミン,ねむ-る,ねむ-い
矛|halberd|ム,ほこ
霧|fog|ム,きり
娘|daughter|むすめ
冥|dark|メイ,ミョウ
銘|inscription|メイ
滅|destroy|メツ,ほろ-びる,ほろ-ぼす
免|excuse|メン,まぬか-れる
麺|noodles|メン
茂|overgrown|モ,しげ-る
妄|delusion|モウ,ボウ
盲|blind|モウ
耗|decrease|モウ,（コウ）
猛|fierce|モウ
網|netting|モウ,あみ
黙|silence|モク,だま-る
紋|family crest|モン
冶|melting|ヤ
弥|all the more|や
厄|unlucky|ヤク
躍|leap|ヤク,おど-る
闇|darkness|やみ
喩|metaphor|ユ
愉|pleasure|ユ
諭|rebuke|ユ,さと-す
癒|healing|ユ,い-える,い-やす
唯|solely|ユイ,（イ）
幽|seclude|ユウ
悠|permanence|ユウ
湧|boil|ユウ,わ-く
猶|furthermore|ユウ
裕|abundant|ユウ
雄|male|ユウ,お,おす
誘|entice|ユウ,さそ-う
憂|melancholy|ユウ,うれ-える,うれ-い,う-い
融|dissolve|ユウ
与|give|ヨ,あた-える
誉|reputation|ヨ,ほま-れ
妖|bewitching|ヨウ,あや-しい
庸|commonplace|ヨウ
揚|hoist|ヨウ,あ-げる,あ-がる
揺|swing|ヨウ,ゆ-れる,ゆ-る,ゆ-らぐ,ゆ-るぐ,ゆ-する,ゆ-さぶる,ゆ-すぶる
溶|melt|ヨウ,と-ける,と-かす,と-く
腰|loins|ヨウ,こし
瘍|boil (medical)|ヨウ
踊|jump|ヨウ,おど-る,おど-り
窯|kiln|ヨウ,かま
擁|embrace|ヨウ
謡|noh chanting|ヨウ,うたい,うた-う
抑|repress|ヨク,おさ-える
沃|fertility|ヨク
翼|wing|ヨク,つばさ
拉|crush|ラ
裸|naked|ラ,はだか
羅|gauze|ラ
雷|thunder|ライ,かみなり
頼|trust|ライ,たの-む,たの-もしい,たよ-る
絡|entwine|ラク,から-む,から-まる,から-める
酪|dairy products|ラク
辣|bitter|ラツ
濫|excessive|ラン
藍|indigo|ラン,あい
欄|column|ラン
吏|officer|リ
痢|diarrhea|リ
履|footgear|リ,は-く
璃|glassy|リ
離|detach|リ,はな-れる,はな-す
慄|fear|リツ
柳|willow|リュウ,やなぎ
竜|dragon|リュウ,たつ
粒|grains|リュウ,つぶ
隆|hump|リュウ
硫|sulphur|リュウ
侶|companion|リョ
虜|captive|リョ
慮|prudence|リョ
了|finish|リョウ
涼|refreshing|リョウ,すず-しい,すず-む
猟|game-hunting|リョウ
陵|mausoleum|リョウ,みささぎ
僚|colleague|リョウ
寮|dormitory|リョウ
療|heal|リョウ
瞭|clear|リョウ
糧|provisions|リョウ,（ロウ）,かて
厘|thousandth|リン
倫|ethics|リン
隣|neighboring|リン,とな-る,となり
瑠|lapis lazuli|ル
涙|tears|ルイ,なみだ
累|accumulate|ルイ
塁|bases|ルイ
励|encourage|レイ,はげ-む,はげ-ます
戻|re-|レイ,もど-す,もど-る
鈴|small bell|レイ,リン,すず
零|zero|レイ
霊|spirits|レイ,リョウ,たま
隷|slave|レイ
齢|age|レイ
麗|lovely|レイ,うるわ-しい
暦|calendar|レキ,こよみ
劣|inferiority|レツ,おと-る
烈|ardent|レツ
裂|split|レツ,さ-く,さ-ける
恋|romance|レン,こ-う,こい,こい-しい
廉|bargain|レン
錬|tempering|レン
呂|spine|ロ
炉|hearth|ロ
賂|bribe|ロ
露|dew|ロ,（ロウ）,つゆ
弄|tamper with|ロウ,もてあそ-ぶ
郎|son|ロウ
浪|wandering|ロウ
廊|corridor|ロウ
楼|watchtower|ロウ
漏|leak|ロウ,も-る,も-れる,も-らす
籠|basket|ロウ,かご,こ-もる
麓|foot of a mountain|ロク,ふもと
賄|bribe,board|ワイ,まかな-う
脇|aside|わき
惑|beguile|ワク,まど-う
枠|frame|わく
湾|gulf|ワン
腕|arm|ワン,うで
