----------------------------------------------
KANJI GRADE 1 
----------------------------------------------
一|one|イチ,イツ,ひと,ひと-つ
親|parent|シン,おや,した-しい,した-しむ
図|diagram|ズ,ト,はか-る
数|number|スウ,（ス）,かず,かぞ-える
西|west|セイ,サイ,にし
声|voice|セイ,（ショウ）,こえ,（こわ）
星|star|セイ,（ショウ）,ほし
晴|clear up|セイ,は-れる,は-らす
切|cut|セツ,（サイ）,き-る,き-れる
雪|snow|セツ,ゆき
船|boat|セン,ふね,（ふな）
線|line|セン
前|in front|ゼン,まえ
組|association|ソ,く-む,くみ
走|run|ソウ,はし-る
多|many|タ,おお-い
太|thick|タイ,タ,ふと-い,ふと-る
体|body|タイ,テイ,からだ
台|pedestal|ダイ,タイ
地|ground|チ,ジ
池|pond|チ,いけ
知|know|チ,し-る
茶|tea|チャ,サ
昼|daytime|チュウ,ひる
長|long|チョウ,なが-い
鳥|bird|チョウ,とり
朝|morning|チョウ,あさ
直|straight|チョク,ジキ,ただ-ちに,なお-す,なお-る
通|pass through|ツウ,（ツ）,とお-る,とお-す,かよ-う
弟|younger brother|テイ,（ダイ）,（デ）,おとうと
店|shop|テン,みせ
点|point|テン
電|electricity|デン
刀|sword|トウ,かたな
冬|winter|トウ,ふゆ
当|hit|トウ,あ-たる,あ-てる
東|east|トウ,ひがし
答|answer|トウ,こた-える,こた-え
頭|head|トウ,ズ,（ト）,あたま,かしら
同|same|ドウ,おな-じ
道|road|ドウ,（トウ）,みち
読|read|ドク,トク,（トウ）,よ-む
内|inside|ナイ,（ダイ）,うち
南|south|ナン,（ナ）,みなみ
肉|meat|ニク
馬|horse|バ,うま,（ま）
売|sell|バイ,う-る,う-れる
買|buy|バイ,か-う
麦|wheat|バク,むぎ
半|half|ハン,なか-ば
番|"ones turn "|バン
父|father|フ,ちち
風|wind|フウ,（フ）,かぜ,（かざ）
分|part,minute of time|ブン,フン,ブ,わ-ける,わ-かれる,わ-かる,わ-かつ
聞|hear|ブン,モン,き-く,き-こえる
米|rice|ベイ,マイ,こめ
歩|walk|ホ,ブ,（フ）,ある-く,あゆ-む
母|mother|ボ,はは
方|direction|ホウ,かた
北|north|ホク,きた
毎|every|マイ
妹|younger sister|マイ,いもうと
万|ten thousand|マン,バン
明|bright|メイ,ミョウ,あ-かり,あか-るい,あか-るむ,あか-らむ,あき-らか,あ-ける,あ-く,あ-くる,あ-かす
鳴|chirp|メイ,な-く,な-る,な-らす
毛|hair|モウ,け
門|gates|モン,かど
夜|night|ヤ,よ,よる
野|field|ヤ,の
友|friend|ユウ,とも
用|use|ヨウ,もち-いる
曜|day of the week|ヨウ
来|come|ライ,く-る,きた-る,きた-す
里|village|リ,さと
理|reason|リ
話|talk|ワ,はな-す,はなし
----------------------------------------------
KANJI GRADE 3
----------------------------------------------
悪|bad|アク,オ,わる-い
安|cheap|アン,やす-い
暗|dark|アン,くら-い
医|doctor|イ
委|committee|イ,ゆだ-ねる
意|idea|イ
育|nurture|イク,そだ-つ,そだ-てる,はぐく-む
員|member|イン
院|institution|イン
飲|drink|イン,の-む
運|carry|ウン,はこ-ぶ
泳|swim|エイ,およ-ぐ
駅|station|エキ
央|center|オウ
横|side|オウ,よこ
屋|roof|オク,や
温|warm|オン,あたた-か,あたた-かい,あたた-まる,あたた-める
化|change|カ,ケ,ば-ける,ば-かす
荷|luggage|カ,に
界|world|カイ
開|open|カイ,ひら-く,ひら-ける,あ-く,あ-ける
階|floor of a building|カイ
寒|cold|カン,さむ-い
感|feeling|カン
漢|China|カン
館|public building|カン,やかた
岸|beach|ガン,きし
起|wake up|キ,お-きる,お-こる,お-こす
期|period of time|キ,（ゴ）
客|guest|キャク,カク
究|research|キュウ,きわ-める
急|hurry|キュウ,いそ-ぐ
級|rank|キュウ
宮|Shinto shrine|キュウ,グウ,（ク）,みや
球|sphere|キュウ,たま
去|leave|キョ,コ,さ-る
橋|bridge|キョウ,はし
業|business|ギョウ,ゴウ,わざ
曲|musical composition|キョク,ま-がる,ま-げる
局|office|キョク
銀|silver|ギン
区|ward|ク
苦|suffer|ク,くる-しい,くる-しむ,くる-しめる,にが-い,にが-る
具|tool|グ
君|you|クン,きみ
係|person in charge|ケイ,かか-る,かかり
軽|light|ケイ,かる-い,かろ-やか
血|blood|ケツ,ち
決|decide|ケツ,き-める,き-まる
研|sharpen|ケン,と-ぐ
県|prefecture|ケン
庫|warehouse|コ,（ク）
湖|lake|コ,みずうみ
向|over there|コウ,む-く,む-ける,む-かう,む-こう
幸|happiness|コウ,さいわ-い,さち,しあわ-せ
港|harbor|コウ,みなと
号|number|ゴウ
根|root|コン,ね
祭|festival|サイ,まつ-る,まつ-り
皿|dish|さら
仕|do|シ,（ジ）,つか-える
死|death|シ,し-ぬ
使|use|シ,つか-う
始|begin|シ,はじ-める,はじ-まる
指|finger|シ,ゆび,さ-す
歯|tooth|シ,は
詩|poem|シ
次|next|ジ,シ,つ-ぐ,つぎ
事|abstract thing|ジ,（ズ）,こと
持|hold|ジ,も-つ
式|style|シキ
実|truth|ジツ,み,みの-る
写|copy|シャ,うつ-す,うつ-る
者|someone|シャ,もの
主|master|シュ,（ス）,ぬし,おも
守|protect|シュ,（ス）,まも-る,も-り
取|take|シュ,と-る
酒|alcoholic drink|シュ,さけ,（さか）
受|accept|ジュ,う-ける,う-かる
州|state|シュウ,す
拾|pick up|シュウ,ジュウ,ひろ-う
終|end|シュウ,お-わる,お-える
習|learn|シュウ,なら-う
集|collect|シュウ,あつ-まる,あつ-める,つど-う
住|dwelling|ジュウ,す-む,す-まう
重|heavy|ジュウ,チョウ,え,おも-い,かさ-ねる,かさ-なる
宿|inn|シュク,やど,やど-る,やど-す
所|place|ショ,ところ
暑|hot|ショ,あつ-い
助|help|ジョ,たす-ける,たす-かる,すけ
昭|shining|ショウ
消|extinguish|ショウ,き-える,け-す
商|sell|ショウ,あきな-う
章|chapter|ショウ
勝|win|ショウ,か-つ,まさ-る
乗|ride|ジョウ,の-る,の-せる
植|plant|ショク,う-える,う-わる
申|say|シン,もう-す
身|body|シン,み
神|god|シン,ジン,かみ,（かん）,（こう）
真|true|シン,ま
深|deep|シン,ふか-い,ふか-まる,ふか-める
進|advance|シン,すす-む,すす-める
世|world|セイ,セ,よ
整|put in order|セイ,ととの-える,ととの-う
昔|long ago|セキ,（シャク）,むかし
全|whole|ゼン,まった-く,すべ-て
相|mutual|ソウ,ショウ,あい
送|send|ソウ,おく-る
想|concept|ソウ,（ソ）
息|breath|ソク,いき
速|fast|ソク,はや-い,はや-める,はや-まる,すみ-やか
族|tribe|ゾク
他|other|タ,ほか
打|hit|ダ,う-つ
対|opposite|タイ,ツイ
待|wait|タイ,ま-つ
代|substitute|ダイ,タイ,か-わる,か-える,よ,しろ
第|ordinal number prefix|ダイ
題|topic|ダイ
炭|charcoal|タン,すみ
短|short|タン,みじか-い
談|discuss|ダン
着|wear|チャク,（ジャク）,き-る,き-せる,つ-く,つ-ける
注|pour|チュウ,そそ-ぐ
柱|pillar|チュウ,はしら
丁|ward|チョウ,テイ
帳|account book|チョウ
調|investigate|チョウ,しら-べる,ととの-う,ととの-える
追|follow|ツイ,お-う
定|decide|テイ,ジョウ,さだ-める,さだ-まる,さだ-か
庭|garden|テイ,にわ
笛|flute|テキ,ふえ
鉄|iron|テツ
転|revolve|テン,ころ-がる,ころ-げる,ころ-がす,ころ-ぶ
都|metropolis|ト,ツ,みやこ
度|degrees|ド,（ト）,（タク）,たび
投|throw|トウ,な-げる
豆|beans|トウ,（ズ）,まめ
島|island|トウ,しま
湯|hot water|トウ,ゆ
